Polymer; set_alpha; set_beta; alpha_iso; alpha_embed; beta; sigma_alpha_iso; sigma_alpha_embed; sigma_beta; best_cost
DPPDTTF -4.938712270281304 0.10570481567616695 -5.158712270281303 -5.088712270281304 0.07293632281655517 0.089 0.1668750000000002 0.018689999999999977 0.0158
DPPDTTFF -4.979822974333575 0.10602062303625281 -5.219822974333574 -5.169822974333575 0.08587670465936476 0.07899999999999999 0.2132999999999999 0.02211999999999998 0.0194
DPPTVT -4.748064987036605 0.07286140350191958 -4.988064987036603 -4.938064987036604 0.06011065788908364 0.089 0.16465000000000019 0.024029999999999982 0.01
DPPTVTFF -4.927746204047798 0.0688064522815671 -5.217746204047798 -5.197746204047796 0.05504516182525365 0.07099999999999998 0.23607499999999973 0.04686 0.0136
DPPBFF -5.027729626366386 0.09213222496817428 -5.267729626366385 -5.217729626366386 0.08476164697072033 0.086 0.14405000000000023 0.013759999999999974 0.0244
DPPBFFFF -5.156065051393733 0.09330594332350166 -5.366065051393732 -5.336065051393732 0.07557781409203632 0.08199999999999999 0.16605000000000011 0.0008199999999999999 0.0186
DPPBTZFF -4.92321717945937 0.11174430216131316 -5.1232171794593695 -5.053217179459371 0.0826907835993717 0.08099999999999999 0.16807500000000009 0.016199999999999975 0.0191
DPPTTF -5.1198435420384065 0.1291412498651046 -5.309843542038406 -5.259843542038407 0.056822149940645966 0.11800000000000002 0.2242000000000003 0.02359999999999997 0.0161
DPPTTFF -5.3760648977195755 0.038801122806433636 -5.516064897719576 -5.506064897719576 0.0541275663149746 0.10700000000000001 0.14712500000000045 0.0 0.013
TIGBTF -4.982137803871893 0.217166264271856 -5.152137803871893 -5.1421378038718935 0.15418804763301772 0.089 0.15352500000000024 0.022249999999999978 0.015
TIGBTFF -4.976005381272717 0.2122518177323339 -5.136005381272717 -5.146005381272717 0.13584116334869362 0.099 0.16087500000000032 0.021779999999999976 0.0107
AIGBTF -3.1810472664449336 0.08497006176904384 -3.351047266444933 -3.351047266444933 0.08072155868059164 0.10900000000000001 0.20437500000000028 0.015259999999999966 0.0119
AIGBTFF -3.224230120101895 0.08553736091610177 -3.314230120101896 -3.3542301201018954 0.08853116854816527 0.088 0.29259999999999975 0.027279999999999985 0.0217
IDTTBT -4.78295934545496 0.10001775212734372 -4.962959345454959 -5.002959345454959 0.09451677576033982 0.08399999999999999 0.13230000000000025 0.007559999999999973 0.0093
IDTTBO -4.929733571953079 0.11472901132911566 -5.1297335719530786 -5.17973357195308 0.10669798053607754 0.07499999999999998 0.16875000000000004 0.015749999999999976 0.0076
IDTTBTF -4.829016871689656 0.10914611510077168 -5.019016871689655 -5.039016871689655 0.10150588704371766 0.07999999999999999 0.1080000000000003 0.009599999999999973 0.0101
IDTTBTFF -4.877961842842797 0.1041423408150684 -5.077961842842797 -5.097961842842796 0.09893522377431496 0.06999999999999998 0.14700000000000005 0.01609999999999998 0.0114
IDTTBPD -4.939194131108065 0.07761286000146969 -5.079194131108066 -5.239194131108065 0.05976190220113164 0.094 0.2044500000000001 0.0 0.0427
AIGT -5.467282020213615 0.1500850227969902 -5.697282020213613 -5.687282020213614 0.13582694563127612 0.06799999999999998 0.16829999999999995 0.03671999999999999 0.0089
AIGTFF -3.208274030677675 0.13707178270698148 -3.3382740306776753 -3.3782740306776744 0.11993780986860876 0.07699999999999999 0.23099999999999982 0.03156999999999999 0.0126
IGT -5.319794425905879 0.11884091584906148 -5.499794425905879 -5.46979442590588 0.11586989295283492 0.08099999999999999 0.16807500000000009 0.03482999999999999 0.0129
IGTFF -5.4865257000280465 0.13459988944974977 -5.686525700028046 -5.666525700028046 0.10431491432355604 0.086 0.2386499999999999 0.004299999999999974 0.0188
IGBT -2.965074154292665 0.11002012169390187 -2.955074154292668 -2.925074154292669 0.08141489005348736 0.096 0.20400000000000013 0.029759999999999984 0.0179
IGBTF -5.5187228242827215 0.09437176332356295 -5.668722824282722 -5.588722824282724 0.07832856355855723 0.06599999999999998 0.18149999999999988 0.03299999999999999 0.0222
IGBTFF -5.656684303674909 0.0632976514344662 -5.716684303674911 -5.616684303674913 0.06203169840577687 0.06399999999999997 0.23359999999999964 0.031359999999999985 0.0231
IGDPT -4.899194805719341 0.09784829006649852 -5.08919480571934 -5.059194805719341 0.10567615327181823 0.07999999999999999 0.2219999999999999 0.022399999999999982 0.0122
AIGDPT -4.977668286525064 0.12141992610574102 -5.217668286525062 -5.207668286525062 0.12081282647521231 0.05099999999999996 0.18359999999999965 0.03977999999999998 0.0147
TIGDPT -4.496619849287521 0.17239003648678905 -4.70661984928752 -4.626619849287522 0.13532617864212937 0.095 0.19000000000000017 0.01329999999999997 0.0102
TTIGT -4.7845302890813475 0.1255536284002004 -4.934530289081348 -4.82453028908135 0.09918736643615828 0.08199999999999999 0.15375000000000016 0.01721999999999998 0.0094
TTIGTFF -4.899652702362051 0.1250948218780047 -5.059652702362051 -5.029652702362052 0.10070133161179376 0.06199999999999997 0.17204999999999987 0.04029999999999999 0.0143
